# 2025-02-10 20:38:28 /Users/victor/.pyenv/versions/3.12.7/bin/psfexportunicodes
# -o ESTRM.csv --allglyphs Estrangelo Marcus-Regular.ufo

.notdef,
.null,
logicalnot,00AC
m,006D
middot,25EF
mu1,0103
multiply,00D7
n,006E
nine,0039
noName00004,
noName00005,0101
noName00212,2022
noName00433,
noName00434,
noName00435,
noName00436,
noName00437,
noName00438,
noName00439,
noName00440,
noName00441,
noName00442,
noName00443,
noName00444,
noName00445,
noName00446,
noName00447,
noName00448,
noName00449,
noName00450,
noName00451,
noName00452,
noName00453,
noName00454,
noName00455,
noName00456,
noName00457,
noName00458,
noName00459,
noName00460,
noName00461,
noName00462,
noName00463,
noName00464,
noName00465,
noName00466,
noName00467,
noName00468,
noName00469,
noName00470,
noName00471,
noName00472,
noName00473,
noName00474,
noName00475,
noName00476,
noName00477,
noName00478,
noName00479,
noName00480,
noName00481,
noName00482,
noName00483,
noName00484,
noName00485,
noName00486,
noName00487,
noName00488,
noName00489,
noName00490,
noName00491,
noName00492,
noName00493,
noName00494,
noName00495,
noName00496,
noName00497,
noName00498,
noName00499,
noName00500,
noName00501,
noName00502,
noName00503,
noName00504,
noName00505,
noName00506,
noName00507,
noName00508,
noName00509,
noName00510,
noName00511,
noName00512,
noName00513,
noName00514,
noName00515,
noName00516,
noName00517,
noName00518,
noName00519,
noName00520,
noName00521,
noName00522,
noName00523,
noName00524,
noName00525,
noName00526,
noName00527,
noName00528,
noName00529,
noName00530,
noName00531,
noName00532,
noName00533,
noName00534,
noName00535,
noName00536,
noName00537,
noName00538,
noName00539,
noName00540,
noName00541,
noName00542,
noName00543,
noName00544,
noName00545,
noName00546,
noName00547,
noName00548,
noName00549,
nonbreakingspace,
ntilde,00F1
numbersign,0023
o,006F
oacute,00F3
ocircumflex,00F4
odieresis,00F6
ograve,00F2
omacron,014D
one,0031
onehalf,00BD
onequarter,00BC
onesuperior,00B9
ordfeminine,00AA
ordmasculine,00BA
oslash,00F8
otilde,00F5
overscore,203E
p,0070
paragraph,00B6
parenleft,0028
parenright,0029
percent,0025
period,002E
periodcentered,
plus,002B
plusminus,00B1
q,0071
question,003F
questiondown,00BF
quotedbl,0022
quotedblleft,201C
quotedblright,201D
quoteleft,2018
quoteright,2019
quotesingle,0027
r,0072
registered,00AE
s,0073
section,00A7
semicolon,003B
seven,0037
six,0036
slash,002F
space,0020
sterling,00A3
t,0074
thorn,00FE
three,0033
threequarters,00BE
threesuperior,00B3
two,0032
twosuperior,00B2
u,0075
uacute,00FA
ucircumflex,00FB
udieresis,00FC
ugrave,00F9
umacron,016B
underscore,005F
v,0076
w,0077
x,0078
y,0079
yacute,00FD
ydieresis,00FF
yen,00A5
z,007A
zero,0030
